"customerid","country","monetary_value","last_purchase_date","frequency","customer_segment","avg_transaction_value"
"14646","Netherlands","280206.02","2011-12-08 12:12:00","73","High value","3838.44"
"18102","United Kingdom","259657.30","2011-12-09 11:50:00","60","High value","4327.62"
"17450","United Kingdom","194550.79","2011-12-01 13:29:00","46","High value","4229.37"
"16446","United Kingdom","168472.50","2011-12-09 09:15:00","2","High value","84236.25"
"14911","EIRE","143825.06","2011-12-08 15:54:00","201","High value","715.55"
"12415","Australia","124914.53","2011-11-15 14:22:00","21","High value","5948.31"
"14156","EIRE","117379.63","2011-11-30 10:54:00","55","High value","2134.18"
"17511","United Kingdom","91062.38","2011-12-07 10:12:00","31","High value","2937.50"
"16029","United Kingdom","81024.84","2011-11-01 10:27:00","63","High value","1286.11"
"12346","United Kingdom","77183.60","2011-01-18 10:01:00","1","High value","77183.60"
"16684","United Kingdom","66653.56","2011-12-05 14:06:00","28","High value","2380.48"
"14096","United Kingdom","65164.79","2011-12-05 17:17:00","17","High value","3833.22"
"13694","United Kingdom","65039.62","2011-12-06 09:32:00","50","High value","1300.79"
"15311","United Kingdom","60767.90","2011-12-09 12:00:00","91","High value","667.78"
"13089","United Kingdom","58825.83","2011-12-07 09:02:00","97","High value","606.45"
"17949","United Kingdom","58510.48","2011-12-08 18:46:00","45","High value","1300.23"
"15769","United Kingdom","56252.72","2011-12-02 13:52:00","26","High value","2163.57"
"15061","United Kingdom","54534.14","2011-12-06 12:06:00","48","High value","1136.13"
"14298","United Kingdom","51527.30","2011-12-01 13:12:00","44","High value","1171.08"
"14088","United Kingdom","50491.81","2011-11-29 16:16:00","13","High value","3883.99"
"15749","United Kingdom","44534.30","2011-04-18 13:20:00","3","High value","14844.77"
"12931","United Kingdom","42055.96","2011-11-18 12:39:00","15","High value","2803.73"
"17841","United Kingdom","40991.57","2011-12-08 12:07:00","124","High value","330.58"
"15098","United Kingdom","39916.50","2011-06-10 15:33:00","3","High value","13305.50"
"13798","United Kingdom","37153.85","2011-12-08 15:51:00","57","High value","651.82"
"16013","United Kingdom","37130.60","2011-12-06 10:36:00","47","High value","790.01"
"16422","United Kingdom","34684.40","2011-11-22 14:00:00","51","High value","680.09"
"12748","United Kingdom","33719.73","2011-12-09 12:20:00","209","High value","161.34"
"15838","United Kingdom","33643.08","2011-11-28 14:00:00","19","High value","1770.69"
"17404","Sweden","31906.82","2011-12-05 16:26:00","15","High value","2127.12"
"17389","United Kingdom","31833.68","2011-12-09 09:38:00","34","High value","936.28"
"13098","United Kingdom","28882.44","2011-12-08 14:14:00","28","High value","1031.52"
"14680","United Kingdom","28754.11","2011-11-14 16:59:00","16","High value","1797.13"
"13081","United Kingdom","28337.38","2011-11-28 10:54:00","11","High value","2576.13"
"13408","United Kingdom","28117.04","2011-12-08 09:05:00","62","High value","453.50"
"17857","United Kingdom","26879.04","2011-12-05 13:13:00","23","High value","1168.65"
"16333","United Kingdom","26626.80","2011-12-02 12:19:00","22","High value","1210.31"
"13777","United Kingdom","25977.16","2011-12-09 12:25:00","33","High value","787.19"
"12753","Japan","21429.39","2011-11-17 10:52:00","6","High value","3571.57"
"12744","Singapore","21279.29","2011-10-19 11:18:00","7","High value","3039.90"
"16210","United Kingdom","21086.30","2011-12-08 12:36:00","18","High value","1171.46"
"17675","United Kingdom","20374.28","2011-12-08 18:03:00","31","High value","657.23"
"17381","United Kingdom","20275.61","2011-12-01 11:59:00","29","High value","699.16"
"15039","United Kingdom","19914.44","2011-11-30 11:31:00","47","High value","423.71"
"12471","Germany","19824.05","2011-12-07 15:43:00","30","High value","660.80"
"12731","France","18895.91","2011-11-16 11:59:00","12","High value","1574.66"
"15159","United Kingdom","18641.01","2011-12-08 12:05:00","30","High value","621.37"
"12901","United Kingdom","17654.54","2011-12-01 10:07:00","28","High value","630.52"
"12678","France","17628.46","2011-10-28 13:04:00","12","High value","1469.04"
"14031","United Kingdom","17286.86","2011-12-02 17:13:00","19","High value","909.83"
"17428","United Kingdom","17256.85","2011-12-09 09:45:00","28","High value","616.32"
"13767","United Kingdom","17220.36","2011-12-07 15:00:00","37","High value","465.42"
"13881","United Kingdom","17159.52","2011-12-06 12:50:00","20","High value","857.98"
"16839","United Kingdom","16594.35","2011-12-01 09:03:00","34","High value","488.07"
"12921","United Kingdom","16587.09","2011-11-30 16:22:00","37","High value","448.30"
"14607","United Kingdom","16569.50","2011-11-24 10:35:00","14","High value","1183.54"
"15856","United Kingdom","16387.57","2011-12-05 17:09:00","27","High value","606.95"
"17677","United Kingdom","16363.23","2011-12-08 09:56:00","30","High value","545.44"
"15189","United Kingdom","16225.39","2011-12-08 13:22:00","41","High value","395.74"
"14051","United Kingdom","15610.39","2011-12-09 10:20:00","23","High value","678.71"
"15513","United Kingdom","14758.22","2011-11-06 14:36:00","19","High value","776.75"
"16133","United Kingdom","14589.04","2011-12-06 11:24:00","33","High value","442.09"
"14866","United Kingdom","14389.90","2011-11-29 11:45:00","12","High value","1199.16"
"16705","United Kingdom","14034.99","2011-12-09 12:08:00","20","High value","701.75"
"12681","France","13787.54","2011-11-25 11:33:00","22","High value","626.71"
"12621","Germany","13689.67","2011-12-08 11:25:00","20","High value","684.48"
"12540","Spain","13400.24","2011-11-20 11:31:00","17","High value","788.25"
"12433","Norway","13375.87","2011-12-09 10:02:00","7","High value","1910.84"
